LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
toskaare;humiliation;PPS
toskugo;humilier;VIA
tottango;etre avide;VIA
totton ;la bas;AVL
tovgo;pleuvoir;VIA
tovvugo;verser goutte à goute;VIA
towtugo;plus haut;VIA
tozzaago;glousser pour appeler le poussin;VIM
toye;où ?;AV
toqgo;lever la jambe;VIA
toqngugo;entraver un animal;VIA
tufgo;percer;VIA
tufle;hypocrisie;NCP
tufle;surnoisie;NCP
tuftaago;se piquer soi meme;VIM
tuggugo;appuyer sur le sol;VIA
tukkingo;etre obstiné;VIA
tullinaago;etre couché nu;VIM
tullugo;etre inférieur;VIA
tullugo;etre inferieur ;VIA
tultugo;allumer un feu;VIA
tultulhi;nom d'arbuste;NCS
tummude;calebasse;NCS
tummuze;calebasses;NCP
tummbirdu;fete de fin d'étude coranique;PPS
tummbugo;placer au millieu;VIA
tuppugo;faire des trous dans le sol;VIA
tuxxam;saignement du nez;PPS
tuxxugo;saigner du nez;VIA
tuxtugo;redresser;VIA
turaago;s'incliner;VIM
tusgo;casser;VIA
tuubaliije;briques;NCP
tuubaliire;brique;NCS
tuubgo;se repentir;VIA
tuufaane;déluge;U
tuultugo;allumer un feu;VIA
tuundi;saleté;NCS
tuure;vomissement;NCS
tuusaaje;syphilis;NCP
tuusaare;syphilis;NCS
tuutgo;vomir;VIA
tuqkixgo;refuser après coup;VIA
u'aali;chants du coq;PPP
u'aango;chant du coq;PPS
ubbugo;rugir;VIA
u'daridu;planete mercure;U
udume;foules;NCP
udumre;foule;NCS
ufaago;reunir dans un baluchon;VIM
ufgo;commencer à pourrir;VIA
uftaago;ouvrir;VIM
ugaago;rester caché ;VIM
ujine;milles;NUP
ujineeje;milles;NUP
ujineere;mille;NUS
ukkaago;arriver à l'improviste;VIM
ukkaano;malheur;NCS
ukkanaago;arriver brusquement;VIM
ukkango;jeter la poussiere;VIA
ukkitaago;se jeter;VIM
ukkugo;jeter;VIA
ukuli'en;inhabiles;NCP
ukuliijo;inhabile;NCS
ulbaali;craquements;PPP
ulbaango;craquement;PPS
ulbugo;craquer;VIA
ummbi'ummbingo;se reinfecter constamment;VIA
ummbugo;se reinfecter;VIA
umpu;variété de sorgho;NCS
umrugo;ordonner;VIA
ungo;piler;VIA
unordu;mortier;PPS
unorzi;mortiers;PPP
unsayayniije;testicules;NCP
untaago;piler de nouveau;VIM
untuwaawal;farine de sorgho;NCS
upaati;ce dont on est capable;U
uraago;bruler du parfum;VIM
ureego;etre brulé;VIP
urkooji;abeille de terre;NCP
urkoowu;abeille de terre;NCS
urkugo;etre grave (voix);VIA
urlaago;prelever une petite part sur l'heritage;VIM
urmaago;tomber en avant;VIM
urorgo;brule-parfum;PPS
urorze;brules-parfums;PPP
unrugal;pilon;PPS
unruze;pilons;PPP
us!;interjection pour chasser les oiseaux ou les poules;I
useko;merci;U
useni;je t'en prie;I
usgo;remercier;VIA
uskuuje;manches;NCP
uskuwal;manche;NCS
usnaago;faire ch! Pour chasser les oiseaux;VIM
ustaago;diminuer;VIM
ustaaru;diminition;PPS
ustango;diminuer en faveur de quelqu'un;VIA
ustitaago;diminuer une 2eme fois;VIM
ustugo;diminuer;VIA
uudaajo;nom de clan peul;NCS
uuda'en;nom de clan peul;NCP
u'ugo;chanter ;VIA
uumgo;gémir;VIA
uurdi;parfum;PPS
uureeli;bonne odeur;PPP
uureenga;bonne odeur;PPS
uurgo;sentir bon;VIA
uurle;parfum;PPP
uutooli;oiseaux;NCP
uutooru;oiseau;NCS
uwdugo;enterrer ensemble/ finir l'enterrement;VIA
uwgo;ramener à terre;VIA
uwirde;lieu de sepulture;PPS
uwirze;lieux de sepulture;PPP
uyre;action faite par ostentation;NCS
uyremaajo;vaniteux;NCS
uyrema'en;vaniteux;NCP
vaake;fourreaux;NCP
vaaraago;s'appuyer contre;VIM
vaaraaki;appui physique;PPS
vaarango;parler à quelqu'un par enigme;VIA
vaararaaji;malveillances;NCP
vaararawol;malveillance;NCS
vaargo;donner une garantie;VIA
vaarndugo;faire courrir deux concurrents;VIA
vaartaago;cesser de s'appuyer;VIM
vaarte;filets de poisson / blancs de poulet/ vaccances scolaires;NCP
vaartere;filet de poisson / blanc de poulet;NCS
vaartugo;reprendre;VIA
vaawo;derrière;AVL
valal;couche d'argile;NCS
vale;couches d'argile;NCP
valeeri;indigotier;NCS
valel;corps;NCS
valingo;noircir;VIA
valinoove;teinturier;PPP
valinoowo;teinturier;PPS
valli;corps;NCP
valon;corps;NCP
valwal;noirceur;PPS
valwugo;noircir;VIA
vanndu;corps;NCS
vaqngal;mariage;PPS
vantaago;revenir d'un paturage;VIM
vantugo;lever;VIA
vare;fourreau;NCS
vareeji;foureaux;NCP
vasgo;crepir;VIA
vatnugo;teter;VIA
vattidgo;manquer de vigueur;VIA
vattidingo;se cicatriser;VIA
vazaago;etre noble;VIM
vazaago;etre grand;VIM
vazango;procurer une épouse;VIA
vazeego;mariée;VIP
vazgo;épouser;VIA
vaqle;mariages;PPP
vaqoove;invités à la noce;PPP
vaqoowo;invité à la noce;PPS
vindawere;front;NCS
vindawje;fronts;NCP
waabaago;ne pas etre d'accord;VIM
waacere;rumination;PPS
waacitaago;ruminer;VIM
waade;mort;NCS
waadiwol;vallée;NCS
waadugo;médire;VIA
waafgo;mettre en travers;VIA
waagaare;tas;PPS
wa'go;etre;VIA
waahaago;arreter;VIM
waajaago;embobiner;VIM
waajibaago;etre obligatoire;VIM
waakgo;etre entassé;VIA
waaktugo;défaire un tas;VIA
waalde;enclos de bétail;PPS
waalgo;passer la nuit;VIA
waaltingo;placer en embuscade;VIA
waamgo;concevoir;VIA
waamuwa;brouillard humide;NCS
waana;danger;U
waanaaji;dangers;NCP
waañciwaañcingo;se promemer constament;VIA
waango;etre difficille;VIA
waadere;goutte de pluie;NCS
waare;barbe;NCS
waawaago;pecher avec un fillet;VIM
waawgo;pouvoir;VIA
waawgo;porter sur le dos;VIA
waawo;état de la femelle en gestation;NCS
waay;aie;I
waaye;camarade;U
waaye'en;camarades;NCP
waazaago;precher;VIM
waddugo;apporter;VIA
waflaare;oreiller;PPS
waggingo;effrayer;VIA
waggizgo;etre encore jeune;VIA
wahaago;changer de route;VIM
wahla;détresse;NCS
wahmitaago;cesser d'hesiter;VIM
wahmu;incertitude;NCS
wahreego;etre impuissant sexuellement;VIP
wahyeego;recevoir une revelation;VIP
wahyu;révélation;U
wahyugo;révéler;VIA
wajoore;rappel d'un fait;PPS
wakeere;coté;NCS
wakkilgo;confier la surveillance;VIA
wakkootirgo;marcher cote à cote ;VIA
wakkude;manton;NCS
walaa;n'est pas;VCAN
walaadu;direction;NCS
waalaago;se coucher;VIM
walooku;saintété;NCS
waalaatu;bonne entente;NCS
walanaa;n'est pas à;VCAN
walaqre;space vide;NCS
walhugo;etre ivre;VIA
waliima;fete;U
walla;ou bien;U
walnaago;longer;VIM
waloojo;personnage saint;NCS
wamdugo;danser ensemble;VIA
wamgo;tresser;VIA
wamgo;danser;VIA
wamtaago;tresser à nouveau;VIM
wammbaazo;griot;PPS
wamwamtugo;ne pas rester ensemble;VIA
wancingo;renverser un liquide par terre;VIA
wañjam'en;barbiers;NCP
wañjamjo;barbier;NCS
wapaago;trouver par hasard;VIM
wappugo;macher à moitier;VIA
waxgo;roter;VIA
waxxingo;faire monter;VIA
waxxugo;courir;VIA
warane;venue;NCS
warde;l'année prochaine;AVT
wardi;rose;NCS
wardugo;tuer ensemble;VIA
wardugo;venir au moyen de;VIA
wargo;venir;VIA
warhoore;meurtre;NCS
warjaago;récompenser;VIM
warjitaago;recompenser;VIM
warjootirgo;se recompenser mutuellement;VIA
wartaago;se suicider ;VIM
wartirgo;revenir en passant par;VIA
wartugo;revenir chez soi;VIA
warwarnugo;venir constament;VIA
wasaago;conseiller;VIM
wasgo;etre très populaire;VIA
wasgo;creuser;VIA
waskoore;gommbo;NCS
wattugo;échanger;VIA
wabbere;grain;NCS
wawzingo;etre beau;VIA
wazoore;médisance;NCS
wazzere;excrement humain;NCS
wazzitgo;déféquer;VIA
waygoore;citrouille;NCS
waylidgo;changer completement;VIA
wayli-waylitingo;changer constament;VIA
waylooru;loup garou;PPS
wayna;petit gateau;U
waynaare;feuillet;NCS
wayrugo;rester longtemps sans faire qulque chose;VIA
waywugo;etre en ébulution;VIA
wecco;coté;NCS
wedgo;floter;VIA
weegaare;désir;NCS
weeggo;coudre de l'envers;VIA
weelgo;donner faim;VIA
weerdugo;etre hebergé ensemble;VIA
weergo;etre hebergé;VIA
weesgo;vanner;VIA
weestaago;vanner un e deuxième fois;VIM
weetaawo;temps passé le matin;NCS
weeta-juuleere;veille de fete;NCS
weetgo;faire jours;VIA
weevgo;etre doux;VIA
weevre;douceur;NCS
weezgo;tenir ouvert;VIA
we'itto;lit;NCS
welango;etre agreable à;VIA
wellitaago;se separer d'un groupe;VIM
welnugo;rendre agréable;VIA
welnugo;rendre agréable;VIA
weltugo;devenir agreable;VIA
weltugo;devenir agreable;VIA
welwugo;etre joyeux;VIA
wempexxere;vague;NCS
weppiweppingo;demander avec insistance;VIA
weringo;faire un trou dans la terre;VIA
wersugo;séparer;VIA
wewgo;flotter;VIA
wezakenaare;coupon;NCS
wiccitaago;se tenir à l'écart;VIM
wiccitingo;établir à l'écart;VIA
wicco;queue;NCS
wiccugo;jeter;VIA
widdaago;faire le tour;VIM
wifgo;éventer;VIA
wiftaago;saisir brusquement;VIM
wiifnaago;etre haut et touffu;VIM
wiige;génisse;NCS
wiikordu;serpette;PPS
wiirnitgo;dégager de la vue;VIA
wiirnugo;cacher;VIA
wiitaago;redire;VIM
wittugo;entasser;VIA
wijaago;retomber de part et d'autres;VIM
wileewo;aile;NCS
wilitaago;mettre en ordre sur les pages ;VIM
wilitgo;se reconstituer;VIA
wilitoode;paginination;NCS
williire;repousse;NCS
wilwaago;cercler une toiture;VIM
wilwildu;chauve souris ;NCS
wilwitaago;cercler une toiture une deuxième;VIM
wixxere;grain de coton;NCS
wirdi;confrerie;NCS
wirdinaago;etre étendu sur le sol;VIM
wirfugo;défendre;VIA
wirgidgo;effacer;VIA
wirgugo;remuer le sable avec les pieds;VIA
wirneego;etre caché;VIP
wiirve;courtisans;NCP
wirwugo;se mettre à courir;VIA
wittugo;revenir en arrière;VIA
wivvere;poitrine;NCS
woddugo;raler;VIA
wodere;tache;NCS
wofaago;etre incapable de se lever;VIM
wo'ingo;amelioré;VIA
wokoloore;testicule;NCS
wolde;parole;NCS
wolidgo;parler ensemble;VIA
wolitaago;parler à son tour;VIM
wolitanaago;répondre;VIM
wolo;joue;NCS
wolwango;parler à;VIA
wolwiwolwingo;parler constament;VIA
wommitingo;faire perdre la corpulence;VIA
wommugo;etre gros;VIA
wonango;etre pour;VIA
woneego;etre habité;VIP
wongo;etre méchant;VIA
wongo;etre;VIA
wonnaago;devenir méchant;VIM
wonnitgo;déformer;VIA
wonnugo;rendre méchant;VIA
wonnuru;perte;PPS
wonorde;séjour;PPS
woofaago;couver;VIM
woofgo;manquer de but;VIA
wooftingo;habituer;VIA
woojere;gonflement du ventre;NCS
woojingo;provoquer un gonflement du ventre;VIA
woojitgo;devenir rouge;VIA
wookaande;cri;PPS
wookgo;crier;VIA
woo'nango;etre bon pour;VIA
woondeego;etre présent;VIP
wooraago;laisser;VIM
woornugo;jeter;VIA
woortaago;etre mal élevé;VIM
woortaare;désobéissance;NCS
woortugo;effeuiller;VIA
woosgo;avoir une seul jambe valide;VIA
woositaago;se déplacer légerement;VIM
woostugo;essuyer;VIA
woo'tingo;réparer;VIA
woovgo;aspirer;VIA
woowgo;avoir l'habitude;VIA
woowlaago;nettoyer;VIM
woowo;gingivite;NCS
woowro;gestation;NCS
woowrugo;etre couverte;VIA
woowtaago;écumer;VIM
woozingo;etre beau;VIA
wooytugo;oublier;VIA
wooyndu;fosse de teinturier;NCS
woppaago;detourner de la tete;VIM
wordugo;etre brave;VIA
worgugo;abattre;VIA
worlugo;mettre un berger en congé;VIA
wormaago;crier;VIM
worñugo;tirailler;VIA
woronde;chéchia avec gland;NCS
worsugo;faire un nœud couland;VIA
wortidgo;ne pas avoir de mari;VIA
wurwugo;battre le lait;VIA
worzingo;rendre courageux;VIA
worzugo;murir;VIA
wosaago;etre trop mou;VIM
wo'tizingo;etre unique;VIA
wowlere;nodosité;NCS
wowtere;dernière pluie de la saison;NCS
wozaago;considerer comme interdit;VIM
wozaave;noms d'un clan peuls nomade;NCP
wozzootirgo;etre éloigné l'un l'autre;VIA
wozzugo;etre loin;VIA
woyango;pleurer à cause de;via
woygo;pleurer;via
woyla;nord;NCS
woytaago;se plaindre;vim
wuttudu;flanc;NCS
wubaago;jeter;vim
wubbaago;prendre à bras le corp;vim
wubtugo;raconter;via
wudale;vache qui a la queu coupée;NCS
wudda;imprevu;PPS
wuddaago;tomber à l'improvisse;VIM
wuddere;mutilation;PPS
wudditgo;mutiler;VIA
wuddizgo;etre mutilé;VIA
wudingo;rejeter;VIA
wufingo;etre bien nourri;VIA
wujjugo;voler;VIA
wujugo;enduire ;VIA
wukkuru;toupillon;NCS
wulaago;se bruler;VIM
wuldugo;faire bruler;VIA
wulgo;etre chaud;VIA
wulingo;transpirer;VIA
wuliningo;provoquer la sueur;VIA
wullaago;accuser;VIM
wullugo;crier;VIA
wulnitanaago;faire rechauffer;VIM
wulxugo;se decomposer;VIA
wu'lugo;jouer dans l'eau;VIA
wummbitgo;élargir;VIA
wumgo;devenir , etre aveugle;VIA
wumooru;aveugle;PPS
wumtaago;perdre la vue une seconde fois;VIM
wunere;tache;NCS
wunndaago;parler ensemble;VIM
wuxaago;emprunter;VIM
wurguure;bas fond;NCS
wurnaago;ouler;VIM
wuro;ville;NCS
wurre;pagne;NCS
wurtaago;sortir;VIM
wurtanaago;sortir en faveur de;VIM
wurtitaago;sortir de nouveau;VIM
wurvaago;soufler de colère;VIM
wurxitgo;trouer;VIA
wumsunde;poumon;NCS
wusvaago;se laver la bouche;VIM
wusvitaago;se laver la bouche une deuxième fois;VIM
wuttaago;avoir le ventre enflé;VIM
wuttugo;sécher;VIA
wuttugo;frapper;VIA
wuudaago;refuser d'avancer;VIM
wuudaare;caractere rétif;NCS
wuudgo;grommeler;VIA
wuudu;cordon ombilical;NCS
wuufgo;mettre dans la bouche;VIA
wuuftugo;laisser échapper de sa bouche;VIA
wuumre;buisson;NCS
wuuraago;etre penché;VIM
wuure;drap de la nuit de noce;NCS
wuurgo;vivre;VIA
wuurnugo;nourrir;VIA
wuuwgo;balayer;VIA
wuuwtaago;balayer uen deuxième fois ;VIM
wuuzaago;tomber à terre et etre recouvert de boue ou de poussière;VIM
wuzgo;pénétrer;VIA
wuygo;etre piqué de vers;VIA
wuykitingo;dessouler quelqu'un;VIA
wuykugo;etre ivre;VIA
wuynaago;attacher ensemble plusieurs prisonniers;VIM
zaami;rates;NCP
zaamol;rate;NCS
zaanaago;dormir;VIM
zaanotoove;dormeur;PPP
zaanotoowo;dormeur;PPS
zaantaago;se rendormir;VIM
zaara'en;voleur tres habile;NCP
zaarjo;voleur tres habile;NCS
zancikiije;tuniques;NCP
zancikiire;tunique ;NCS
zanningo;faire dormir;VIA
zatal;manière/ chemin;NCS
zate;manière/ chemin;NCP
zatgo;mentir;VIA
zawgo;egoiste;VIA
yaa;lettre ya de l'alphabet arabe;U
yaafaago;pardonner;VIM
yaafuye;pardon;U
yaageehi;nom d'arbre;NCS
yaagorgol;tante paternelle;NCS
yaagorgol'en;tantes paternelle;NCP
yaa'uba;jacop;NP
yaaji;poudre de piment;U
yaajgo;etre large;VIA
yaakaago;venir se joindre;VIM
yaake;époque;AVT
yaalande;passage;PPS
yaalirgo;etre présent;VIA
yaama;peu etre;P
yaapenndo;tante maternelle;NCS
yaapenndo'en;tantes maternelle;NCP
yaare;scorpion;NCS
yaare;plaine;NCS
yaasi;l'exterieur;AVL
yaavgo;marcher sur;VIA
yaavre;pied;NCS
yaavtugo;marcher sur;VIA
yaawdaago;se hater;VIM
yaawdingo;se depecher;VIA
yaawgo;se hater;VIA
yaawnugo;se faire hater;VIA
yaaya;jean;NP
yaaye;mère;NCS
yaayi;qualité;U
yaftaago;dédaigner;VIM
yaftaago;mépriser de nouveau;VIM
yaharde;identité;NCS
yahdu ;demarche;NCS
yahdugo;aller ensemble;VIA
yahrango;conduire;VIA
yahtaago;aller à nouveau;VIM
yahuudu'en;juifs;NCP
yahuuduujo;juif;NCS
yahya;jean;NP
yakatabwo;sandale de cuire;NCS
yakitingo;affirmer avec conviction;VIA
yakkaago;etre très épuisé;VIM
yakkaare;grande fatigue;PPS
yakkugo;fatiguer;VIA
yaltugo;suinter;VIA
yambayru;chant;NCS
yamde ;métal;NCS
yamzitgo;guérir;VIA
yamlugo;mettre un point sur consonne pour indiquer la voyelle;VIA
yamzingo;maintenir en bonne santé;VIA
yamzugo;etre en bonne santé;VIA
yanndingo;faire tomber;VIA
yango;tomber;VIA
yantingo;faire reprendre connaissance;VIA
yantugo;tomber à l'improviste;VIA
yardugo;boire avec quelqu'un;VIA
yargo;boire;VIA
yarnitaago;donner à boire une deuxième fois;VIM
yarnugo;faire boire;VIA
yartaago;boire une seconde fois;VIM
yartugo;se rétrécir;VIA
yawaago;mépriser;VIM
yawgo;dédaigner;VIA
yawnaago;etre de caste méprisable;VIM
yawnugo;mépriser;VIA
yawtugo;depasser;VIA
yaqngugo;soufrir;VIA
yaqkinaare;humilité;PPS
yaqkingo;rendre humble;VIA
yaqkirgo;nier;VIA
yeccitaago;repeter;VIM
yeccugo;raconter;VIA
yeddugo;contredire quelqu'un;VIA
yeebaago;négliger;VIM
yeecitaago;tourner la tete en arrière;VIM
yeedaare;part de distribution;PPS
yeedugo;distribuer;VIA
yeeggo;jouer de la viole;VIA
yeengo;payer un salaire;VIA
yeeraago;tourner la tete;VIM
yeeraande;œuf;NCS
yeergo;avoir tardivement les enfants;VIA
yeesgo;faire la chaine;VIA
yeeso;visage;NCS
yeesre;mamelle;NCS
yeetaago;raconter;VIM
yeeweego;etre dans le calme;VIP
yeeweende;silencieux;PPS
yeewgo;etyre silencieux;VIA
yeewtidgo;causer ensemble;VIA
yeewtugo;rompre le silence;VIA
yeezitingo;redonner la vie;VIA
yeendu;fourmillier;NCS
yeezugo;vivre;VIA
yeeygo;annoncer à haute voix;VIA
yeeyningo;faire proclamer;VIA
yeftirgo;laisser tomber;VIA
yelaago;désirer;VIM
yelanaago;désirer;VIM
yelditingo;pousser à s'excuser;VIA
yeldugo;fournir une excuse;VIA
yelemre;mollet;NCS
yelika;peut etre;AV
yelyelnugo;avoir l'envie de tout ce qu'on voit;VIA
yemmbaago;trier;VIM
yendugo;vivre avec;VIA
yenirde;résidence;PPS
yennoore;granulation sous cutanée;NCS
yenwitgo;faire passer le regret;VIA
yenwindirgo;se regretter mutuellement;VIA
yenwugo;regretter vivement;VIA
yerdaago;etre favorable;VIM
yerdootirgo;etre d'accord mutuellement;VIA
yeriima;prince;U
yeriima'en;princes;NCP
yerindaago;se réjouir;VIM
yervugo;pousser;VIA
yerwaago;tournoyer;VIM
yerwa;maiduguri;U
yettugo;pouvoir magique;VIA
yevre;part;NCS
yewgo;casser;VIA
yewor;antidote;U
yeworji;antidotes;NCP
yewre;cassure;NCS
yewtaago;briser une deuxieme fois;VIM
yezgo;accorder;VIA
yezzinaago;etre calme;VIM
yibbitgo;s'écrouler;VIA
yibbugo;tomber;VIA
yidaago;aider;VIM
yidaye;aide;U
yidere;siècle;NCS
yidootirgo;s'entraider;VIA
yiggugo;frotter;VIA
yi'ango;voir chez quelqu'un;VIA
yiide;amour;PPS
yiide;désir;PPS
yiidugo;voir ensemble;VIA
yiifaago;s'enrouler autour de;VIM
yiifgo;entourer;VIA
yiiftugo;dérouler;VIA
yiigo;voir;VIA
yiigo;faire de la caprice;VIA
yiilaago;se promener;VIM
yiilaaru;promenade;PPS
yiilgo;promener;VIA
yiirude;organe de la vue;PPS
yiitaago;se voir soi-meme;VIM
yiite;feu;NCS
yiiwgo;laver le corps;VIA
yiiworgo;cuvette à douche;PPS
yiiyiitirgo;se voir mutuellement;VIA
yijaago;etre tortueux;VIM
yikkeego;se mettre facilement en colère;VIP
yimve;gens;NCP
yimve;personnes;NCP
yimgo;chanter;VIA
yimndugo;chanter les louanges de quelqu'un;VIA
yinaago;nager;VIM
yinnitaago;simuler la folie;VIM
yinnugo;rendre fou;VIA
yiraago;faire un gros éffort;VIM
yirgo;creuser une rigole;VIA
yirgugo;frapper;VIA
yirlaago;tourner;VIM
yirlugo;faire tourner;VIA
yisgo;tourner legerement;VIA
yisitaago;se pousser;VIM
yizgo;aimer;VIA
yobnaago;chercher dans l'obscurité avec une lumière à la main;VIM
yoga;une partie de;NCS
yo'go;secouer;VIA
yokgo;trotter;VIA
yolbugo;etre flasque;VIA
yollaago;tomber dans un trou;VIM
yongo;etre arrivée;VIA
yonteego;avoir de la fievre;VIP
yoo;ah oui;I
yoofgo;lacher;VIA
yooftaago;tomber;VIM
yooftugo;lacher;VIA
yookoode;pomme d'adam;NCS
yoolgo;noyer;VIA
yooltugo;sauver de la noyade;VIA
yoorgo;etre sec;VIA
yoorgo;relever;VIA
yoorve;courageux;PPP
yoosgo;se dissoudre;VIA
yoosnugo;faire fondre;VIA
yootaago;atteindre;VIM
yoovaago;faire des provisions de route;VIM
yoovaago;frapper;VIM
yoowdaago;se hater;VIM
yooyooji;lamentations funèbres;NCP
yorsitaago;avoir de la peine à setir debout;VIM
yovgo;payer;VIA
yovgo;payer;VIA
yovnugo;faire payer;VIA
yowgo;poser;VIA
yoylitgo; evanuire;VIA
yoqkugo;battre le lait;VIA
yuguda;nom propre donné à un garcon né après plusieurs filles;NP
yulgo;percer;VIA
yulyu;juillet;U
yunanjo;grec;NCS
yurmaago;etre digne de pitié;VIM
yurmeende;pitié;PPS
yurmitaago;simuler la misère;VIM
yurnaago;regarder à l'interieur;VIM
yusvugo;composer un poème;VIA
yuutugo;etre mouillé;VIA
yuvvugo;enfiler;VIA
yuwgo;transpercer;VIA
yuwtaago;transpercer une deuxième;VIM
yuwyuwtirgo;se transpercer mutuellement;VIA
qaaawal;oiseau noir au cri bruyant;NCS
qaabura;les psaumes de david;U
qaafango ;convoiter;VIA
qaafgo;désirer ardemment;VIA
qaahiri;aspect visible;NCS
qaalooze;longs tatouages facieux;PPP
qaasaago;se gratter;VIM
qaasgo;gratter;VIA
qaati;aspect exterieur ou physique de quelque chose;U
qaavaago;ouvrir la bouche;VIM
qaavaare;baillement;PPS
qaaza;hermaphrodite;NCS
qaazaaku;absence des testicules;NCS
qabitaago;tromper en retour ;VIM
qadadaaru;pigeon de guinée;NCS
qadeere;case carrée ou rectangulaire;NCS
qadi;lettre za de l'alphabet arabe;U
qa'inaago;durcir en séchant;VIM
qa'ingo;rendre dur;VIA
qakkugo;etre très court;VIA
qakkere;insuffisance;PPS
qaalaago;tracer les longs tatouages faciaux;VIM
qallo;arrogant;NCS
qallizgo;etre arrogant;VIA
qallootirgo;etre arrogant;VIA
qallu;éffronterie;NCS
qalvere;début de pluie;NCS
jammboowo;trompeur;PPS
qamminaago;refuser absolument;VIM
qamminaare;intrigeance;PPS
qanco;moquerie;PPS
qancugo;se moquer de quelqu'un;VIA
qantuuru;calebasse assez allongée;NCS
qappere;brèche;PPS
qappitgo;enlever une dent;VIA
qappizgo;etre ébréché;VIA
qaraago;etre beau;VIM
qaraajo;clan peul;NCS
qarafre;cartouche;NCS
qaratugo;égratigner;VIA
qarnaago;etre beau;VIM
qarol;beauté;PPS
qasaago;savoir bien faire ce qu'on a appris;VIM
qatgo;mordre;VIA
qatatte;parole blessantes;NCP
qatqattirgo;se mordre l'un de l'autre;VIA
qatqattirki;grincement;PPS
qavaare;mangoire en terre;PPS
qawal;debut d'après midi;PPS
qawturu;vulve;NCS
qaza-qaza;desir ;PPS
qazgo;grandir;VIA
qazu;mensonge;PPS
jaytuunhi;olivier;NCS
qeernugo;provoquer la raideur du cou;VIA
qeertugo;pousser son premier cri;VIA
qefaago;rentrer la tete dans les épaules;VIM
qelgo;grignoter;VIA
qelingo;chatouiller;VIA
qeltaago;ébrécher une deuxième fois;VIM
qelwugo;démanger;VIA
qernaago;avoir le cou raide;VIM
jengo;commettre l'adultère;VIA
qiraabeewu;quantité de mil;NCS
qirzaago;écraser dans un mortier;VIM
jindar;envie de viande;U
qoccitaago;etre ébréché;VIM
qolfere;absence de quelque dent;PPS
qoñaago;grignotter;VIM
qoqgo;somnoler;VIA
qoobaaare;tas de fumier;NCS
qoodu;crochet;PPS
qoolgo;ronger;VIA
qooñingo;s'obstiner;VIA
qoo'tugo;faire disparaitre le crampes;VIA
qoozgo;avoir des crampes;VIA
qorloobaare;vetement replié derrière le cou;NCS
qorvinaago;être abattu;VIM
qosaago;etre de travers;VIM
qosgo;mettre de travers;VIA
qoqkaaji;coquille d'escagot de taille plus grande que la moyenne;NCP
qubaawol;filet de peche;NCS
quslaango;hurlement;PPS
qummbugo;pecher;VIA
qummbuzo;pecheur;PPS
qunguuje;anes;NCP
qunguuji;calebasses assez allongée;NCP
qunguure;ane;NCS
qunnabre;coup de point;NCS
qunnuba;péché;U
quslugo;hurler;VIA
juulgarnayni;alexandre le grand;NP
juura;debut de l'après midi;AVT
quurgo;ronronner;VIA
quurquurtugo;grommeler;VIA
jumbulumjo;inciconcis;NCS
haandingo;supposer;VIA
bumnaare;fierté;PPS
buneyel;serpent noir;NCS
mbunehon;serpent noir;NCS
bunndugaaru;fusil;NCS
bunndugaaji;fusil;NCP
bungayru;cynocéphale;NCS
bungayji;cynocéphale;NCP
buuraago;etre invendu;VIM
buurgo;empecher de se vendre;VIA
mburbuttu;tétard;NCS
burbutti;tetard;NCP
burgugo;etre fort;VIA
burgu;herbe de marécage à tige sucrée;NCS
burguuri;sorgho repiqué;NCS
burjuwol;signe de zodiaque;NCS
burjuuji;signe de zodiaque;NCP
burli;arbuste epineux;NCS
burle;arbustes epineux;NCP
burmugo;tromper;VIA
burmaajo;homme qui n'a pas de cicatrices faciales;NCS
burma'en;homme qui n'a pas de cicatrices faciales;NCP
buuroohi;euphorbe candélabre;NCS
buurooje;euphorbe candélabre;NCP
burtol;piste de betail en brousse;NCS
burti;pistes de betail en brousse;NCP
mburtiri;jeune taureau;NCS
burti;jeunes taureaux;NCP
buruuji;clairons;NCP
mburuutu;ver de Guinée;NCS
buruuti;vers de Guinée;NCP
buski;arbre à gomme;NCS
busze;arbres à gomme;NCP
busawwal;corne de bœuf utilisée comme instrument de musique;NCS
busawje;cornes de bœuf utilisée comme instruments de musique;NCP
buusin;vertu magique;U
buusinji;vertus magiques;NCP
busuraa'u;chant religieux tres long;U
buutol;pagne porté comme cache sexe;NCS
buuti;pagnes portés comme caches sexes;NCP
buutu;bas prix;PPS
buutingo;rendre bn marché;VIA
buutamre;bas prix;PPS
mbuuxo;biens;NCS
mbuxuure;ciron;NCS
mbuxuuje;cirons;NCP
vaa;pour indiquer l'etonnement;I
vaade;demeure;NCS
vaale;demeure;NCP
vaavaago;se mettre une ceinture de perles;VIM
vaacugo;boiter;VIA
vaacol;jeune pousse de palmier;NCS
vaaci;jeunes pousses des palmiers;NCP
vadaago;etre proche;VIM
vadaare;voisinage;NCS
vaditaago;s'approcher;VIM
vaade;mais en realité;C
vafgo;etre fatigué;VIA
vakkugo;enduire;VIA
valal;couche d'argile petrie;NCS
vale;couches d'argile petrie;NCP
vanndu;corps;NCS
valli;corps;NCP
valel;petit corps;NCS
valon;petits corps;NCP
valeeri;indigotier;NCS
valingo;noircir;VIA
valwugo;noircir;VIA
vaqgo;prendre pour femme;VIA
vaqoowo;invité à la noce;PPS
vaqoove;invité à la noce;PPP
